id,cuisine,ingredients
70,Italian,olive_oil cheese corn parmesan_cheese buttermilk bread cream
71,Thai,coriander fenugreek pepper mushroom coconut chicken_broth cumin seed tomato basil chicken turmeric fish cane_molasses lime
72,American,olive_oil lemon_juice fish parmesan_cheese lettuce garlic egg bread
73,French,olive_oil thyme onion chicken_broth white_wine carrot garlic mussel cream mint zucchini
74,American,cane_molasses vinegar ham onion parsley celery smoke vegetable_oil sherry tamarind egg mustard
75,Spanish_Portuguese,coriander vinegar pork olive_oil shallot raisin black_pepper cumin parsley garlic bell_pepper smoke sherry roasted_beef wine
76,French,butter wheat mushroom milk_fat shallot chicken_broth asparagus nutmeg sherry chicken egg milk cream
77,Southern_SoulFood,butter green_bell_pepper onion bacon chicken_broth sage celery egg
78,American,butter olive_oil potato garlic chive cream
79,Italian,butter lemon_juice wheat mushroom parsley chicory macaroni smoke vegetable_oil mozzarella_cheese garlic milk
80,American,olive_oil bean meat black_pepper parsley fennel macaroni bell_pepper olive tuna
81,American,butter cheese grape_juice strawberry vanilla buttermilk blueberry cream
82,American,olive_oil thyme onion black_pepper nutmeg egg milk cream
83,French,butter wheat nectarine peach almond hazelnut lard egg cream
84,Indian,coriander fenugreek cilantro lemon_juice pepper cumin mango garlic sesame_seed yogurt chicken turmeric
85,American,butter cane_molasses wheat vanilla peppermint cocoa milk
86,French,vegetable_oil black_pepper meat sweet_potato cranberry
87,American,butter egg vanilla wheat milk
88,Southwestern,coriander cayenne lime_juice cumin seed watermelon
89,Asian,rice ginger pumpkin
90,Southern_SoulFood,cane_molasses butter lemon_juice wheat apple egg vanilla cinnamon lemon_peel milk cream
91,Asian,vinegar rice carrot
92,American,olive_oil wheat meat vinegar black_pepper garlic bell_pepper smoke hazelnut sherry chicken berry
93,American,butter raisin goat_cheese pecan cinnamon date watercress
94,American,butter lemon_juice wheat lemon_peel milk_fat vegetable_oil raspberry egg milk cream
95,Mexican,tomato cilantro cayenne chicken_broth avocado scallion cucumber bell_pepper lime_juice
96,French,butter black_pepper wheat chive onion
97,American,tomato olive_oil lemon_juice lemon black_pepper parsley macaroni pea
98,American,butter wheat black_pepper corn caviar buttermilk chive egg cream
99,Japanese,katsuobushi vinegar soy_sauce cucumber seaweed sherry
100,French,tomato beef wheat onion thyme bacon shiitake red_wine sage bay carrot garlic beef_broth rosemary roasted_beef
101,Asian,beef starch egg_noodle soy_sauce ginger garlic orange vegetable_oil beef_broth pea
102,Asian,shallot vegetable_oil garlic
103,American,butter dill mustard black_pepper bread watercress smoked_salmon
104,French,butter wheat almond milk_fat olive egg milk
105,Greek,olive_oil dill wheat vinegar feta_cheese black_pepper parsley celery yogurt mint leek egg wine
106,French,butter wheat black_pepper parsley milk_fat buckwheat chive egg milk
107,Central_SouthAmerican,coriander olive_oil lemon_juice vinegar cider black_pepper bean garlic
108,Greek,olive_oil lemon_juice lemon thyme black_pepper prawn oregano
109,American,butter olive_oil lemon_juice cheese shallot shiitake chive asparagus macaroni vegetable lemon_peel
110,American,garlic pork black_pepper onion
111,French,butter mustard onion parsley cocoa cucumber chive vegetable_oil egg milk cream
112,Asian,cilantro fish shiitake cayenne ginger scallion soy_sauce
113,Irish,cane_molasses vinegar pork beef onion potato black_pepper parsley leek carrot tomato vegetable_oil tamarind beef_broth rutabaga
114,American,cane_molasses butter wheat yeast corn vanilla brandy pecan fig egg milk cream
115,Southwestern,tomato butter cilantro mushroom onion cheese black_bean black_pepper cayenne scallion garlic bell_pepper egg
116,Southwestern,olive_oil chayote apple lime_juice black_pepper cayenne seed orange scallion prickly_pear
117,Mediterranean,tomato olive_oil lemon_juice lemon plum anise fennel garlic wheat
118,Jewish,butter cane_molasses wheat apricot vanilla raisin walnut cinnamon cream_cheese egg milk
119,American,cane_molasses vinegar pepper soy_sauce ginger garlic soybean orange chicken star_anise
120,Thai,coriander fenugreek pepper peanut fish cayenne cumin cilantro butter chicken lemongrass turmeric
121,Southern_SoulFood,tomato vinegar pepper mustard onion olive_oil lime_juice orange_juice black_pepper pork garlic bell_pepper smoke vegetable_oil bread
122,Italian,olive_oil chicken_liver sage red_wine pear honey garlic orange meat
123,American,butter cheese feta_cheese parmesan_cheese scallion garlic vegetable_oil egg
124,French,butter egg nut lemon_juice wheat
125,French,coconut wheat mustard onion rum parsley cucumber chive vegetable_oil egg cream
126,English_Scottish,milk_fat wheat milk beef
127,French,onion chicken_broth bacon parsley carrot nutmeg rice cream
128,German,butter olive_oil wheat thyme sage black_pepper parsley milk_fat nutmeg chive egg milk
129,Italian,butter olive_oil onion cherry cayenne parmesan_cheese bean macaroni soybean garlic broccoli
130,American,strawberry vanilla honey milk_fat peanut_butter cream egg milk bread
131,French,coriander olive_oil lemon_juice lemon onion parsley saffron garlic ginger chicken rice cinnamon
132,French,tomato olive_oil cod thyme basil
133,Italian,celery lentil black_pepper beef onion
134,Asian,butter rice barley soybean scallion
135,Asian,cane_molasses coconut chicken_broth lime_juice fish tabasco_pepper ginger shrimp garlic peanut_butter smoke basil soy_sauce
136,American,cane_molasses lemon_juice peach
137,Southwestern,olive_oil pepper onion lima_bean corn cayenne cumin cilantro garlic bell_pepper oregano chicken_broth cream
138,American,butter wheat yeast corn peppermint milk cocoa egg vanilla cream
139,Asian,vinegar pepper grape_juice wheat beef onion soy_sauce scallion garlic soybean beef_broth plum sesame_oil
140,Chinese,pepper peanut soy_sauce cayenne cilantro scallion garlic rice egg
141,American,butter buttermilk wheat lard
142,Italian,tomato onion black_pepper bacon parmesan_cheese macaroni garlic cream
143,French,butter almond cherry_brandy cocoa sour_cherry cream
144,Mediterranean,butter olive_oil lemon_juice shallot chicken_broth parsley parmesan_cheese white_wine rice lemon_peel
145,American,butter lemon_juice asparagus parmesan_cheese macaroni chive salmon_roe lemon_peel cream
146,American,rum cherry vanilla milk_fat egg milk cream
147,Asian,sesame_oil beef starch soy_sauce ginger scallion garlic vegetable_oil sherry shiitake broccoli
148,Indian,butter rose nut cashew
149,American,olive_oil lemon_juice lemon parmesan_cheese bell_pepper vegetable chicken bread
150,Mediterranean,olive_oil chicken_liver vinegar rosemary white_wine garlic bell_pepper lemon_peel bread
151,Southwestern,vinegar wheat mustard onion cayenne lard cider walnut horseradish oregano blue_cheese vegetable cabbage egg
152,Asian,garlic soy_sauce cayenne sesame_oil wine
153,American,butter potato shallot sage black_pepper squash parsnip garlic
154,American,lamb olive_oil green_bell_pepper wheat meat onion chicken_broth parsley bay carrot garlic tomato lemon_peel pea
155,American,provolone_cheese olive_oil pepper beef bell_pepper bread
156,American,butter wheat egg lime_juice ginger mango vegetable_oil lime_peel_oil cream
157,American,champagne_wine grape lemon
158,American,peanut_oil pepper green_bell_pepper wheat thyme onion tabasco_pepper parsley scallion celery garlic crab bay oyster shrimp
159,Scandinavian,vegetable_oil egg mustard cream
160,American,butter dill pepper lemon_juice egg
161,American,tomato olive_oil marjoram tarragon cheese black_pepper parsley parmesan_cheese fruit macaroni basil spearmint
162,Asian,peanut_oil wheat sesame_oil beef soy_sauce ginger bean
163,Moroccan,lamb butter wheat onion raisin almond black_pepper ginger honey garlic saffron cinnamon
164,French,butter vinegar lemon_juice cayenne caviar egg cream
165,Jewish,cane_molasses egg pecan
166,American,cocoa
167,American,butter coffee cream
168,American,vinegar pepper grape_juice olive_oil red_wine seed pecan
169,Asian,coriander fenugreek coconut lime_juice pepper ginger cumin chicken turmeric
170,Asian,vinegar sesame_oil starch shiitake soy_sauce ginger scallion honey garlic bell_pepper soybean vegetable_oil rice pea
171,American,butter lemon_juice wheat egg oatmeal gelatin currant vegetable_oil lemon_peel milk cream
172,Cajun_Creole,dill lemon_juice onion vinegar cayenne shrimp celery garlic bell_pepper vegetable_oil egg leek
173,French,butter wheat
174,American,butter lovage lemon mustard onion potato corn black_pepper thyme ginger bay fennel smoked_sausage lobster cinnamon mussel vegetable_oil egg
175,American,cane_molasses butter wheat apple vanilla ginger oat pecan cinnamon cranberry milk cream
176,Asian,mushroom starch corn ginger garlic vegetable_oil sherry chicken rice soy_sauce
177,American,olive_oil garlic bell_pepper broccoli
178,American,milk_fat cream egg cinnamon milk
179,American,tomato cheese pepper wheat onion olive_oil black_bean corn cayenne cumin scallion cilantro garlic cream
180,Italian,tomato olive_oil green_bell_pepper onion parsley shrimp macaroni artichoke oregano basil garlic broccoli
181,Mexican,cayenne orange_juice lime_juice onion oregano
182,Italian,coffee starch vanilla almond cocoa milk
183,American,butter cane_molasses wheat rum lime_juice buttermilk roasted_pecan egg banana cream
184,American,butter cane_molasses vanilla milk milk_fat cinnamon egg banana bread
185,Chinese,sesame_oil starch soy_sauce ginger scallion garlic bell_pepper soybean vegetable_oil sherry nut
186,French,olive_oil garlic bread
187,Mexican,tomato katsuobushi onion olive_oil cayenne fish lime_juice scallion garlic radish mint corn
188,American,butter cane_molasses wheat plum ginger cinnamon lard cream egg pumpkin
189,Asian,olive_oil lemon_juice feta_cheese soy_sauce black_pepper scallion buckwheat pea
190,Cajun_Creole,butter cane_molasses pepper lemon_juice thyme onion vinegar cayenne shrimp garlic bell_pepper oregano tamarind bread
191,Asian,orange_peel vinegar cilantro sesame_oil soy_sauce ginger honey scallop garlic sesame_seed peanut_oil rice mint thai_pepper
192,American,olive_oil dill juniper_berry salmon potato black_pepper chive orange
193,English_Scottish,butter wheat egg milk
194,Jewish,butter coffee wheat walnut cocoa egg
195,MiddleEastern,wheat onion cardamom almond bay nutmeg cinnamon lentil chicken
196,Southern_SoulFood,wheat corn milk_fat vegetable_oil egg milk
197,Southwestern,tomato olive_oil cilantro squid onion lime_juice orange_juice cayenne scallop macaroni olive
198,MiddleEastern,olive_oil wheat parsley scallion
199,American,olive_oil cilantro almond lime_juice celery smoke cranberry chicken
200,American,wheat vanilla buttermilk nutmeg lard vegetable vegetable_oil egg
201,Mexican,butter wheat milk_fat corn yeast cocoa gelatin cream_cheese egg milk
202,American,olive_oil mustard vinegar carrot white_wine seed brassica bell_pepper cabbage
203,Italian,butter olive_oil potato parmesan_cheese buttermilk garlic nutmeg porcini cheese cream
204,Mexican,tomato olive_oil onion cayenne corn avocado shrimp garlic bell_pepper watercress cream
205,Central_SouthAmerican,vinegar pepper beef black_pepper parsley cumin garlic olive bay
206,French,coffee mustard onion vanilla parsley cocoa cucumber chive vegetable_oil egg cream
207,American,pepper green_bell_pepper corn milk carrot vegetable_oil cabbage cream egg seed caraway
208,Asian,grape_juice sesame_oil onion soy_sauce cayenne honey macaroni bell_pepper basil pea roasted_peanut
209,American,pork grape_juice apple onion raisin white_wine celery carrot cinnamon vegetable rosemary
210,Italian,butter olive_oil wheat cocoa hazelnut orange egg milk
211,Greek,olive_oil starch parsley scallion oregano yogurt mint milk zucchini
212,Asian,sesame_oil soy_sauce black_pepper chive sherry tuna
213,American,cane_molasses vinegar pork beef mustard onion bourbon_whiskey black_pepper pepper cumin beer wood garlic tomato bell_pepper
214,MiddleEastern,caraway cardamom black_pepper cumin seed turmeric
215,Jewish,butter wheat mushroom onion egg_noodle vegetable egg leek
216,Southern_SoulFood,vegetable_oil pepper wheat milk
217,English_Scottish,wheat beef mushroom red_wine onion parsley celery gelatin carrot currant roasted_beef vegetable_oil veal horseradish egg milk
218,French,butter coriander pepper fenugreek cumin ginger scallop carrot cucumber cream turmeric
219,Greek,butter wheat thyme feta_cheese black_pepper lard egg cream
220,American,butter cane_molasses starch vanilla milk_fat pecan egg milk cream
221,Irish,butter wheat vanilla sherry raspberry egg milk cream
222,American,butter wheat corn raisin buttermilk fennel cranberry egg
223,Asian,butter coconut rice egg
224,American,butter cane_molasses wheat vanilla buttermilk egg corn cream
225,EasternEuropean_Russian,cane_molasses cocoa wheat citrus almond ginger honey fruit cinnamon butter hazelnut orange lemon rice egg
226,American,butter orange_peel lemon_juice apple orange_juice lemon_peel
227,Spanish_Portuguese,lemon milk_fat corn almond sage honey gelatin orange wheat yeast egg milk cream
228,Indian,coriander fenugreek coconut chicken_broth lime_juice cumin ginger scallion cilantro turmeric pepper chicken lemongrass lime
229,American,cane_molasses vinegar clam wheat onion thyme potato black_pepper bacon bay tabasco_pepper sherry tamarind oyster cream
230,Scandinavian,butter cheese lemon_juice dill parsley scallion chive vegetable_oil cream egg smoked_salmon bread
231,Italian,tomato olive_oil nut cayenne macaroni garlic
232,Jewish,butter cane_molasses pecan egg cinnamon
233,Asian,coriander wheat cayenne black_pepper ginger buttermilk bell_pepper vegetable_oil chicken turmeric
234,American,cane_molasses bourbon_whiskey pepper mustard onion vinegar cayenne plum black_pepper pork honey garlic soybean pineapple tamarind soy_sauce
235,American,corn_flake almond egg
236,Chinese,date vegetable_oil rice egg sesame_seed
237,American,lamb peanut_oil cauliflower beef black_pepper raisin thyme butter date cabbage
238,American,olive_oil mustard beef garlic scallion veal vegetable_oil egg bread
239,Japanese,olive_oil lemon_juice soy_sauce ginger shrimp lemon_peel wine
240,French,butter wheat apple starch vanilla milk milk_fat lard egg corn cream
241,Vietnamese,soy_sauce ginger garlic vegetable_oil chicken turmeric star_anise lime
242,Indian,butter rice
243,Asian,tomato vinegar lemon_juice onion olive_oil soy_sauce orange_juice cayenne parsley ginger seed garlic thai_pepper chive rice oyster
244,American,tomato olive_oil vinegar black_pepper parsley white_wine smoke mozzarella_cheese cheese bread
245,Italian,butter lemon_juice parsley shrimp macaroni garlic
246,American,butter egg almond pear
247,Italian,tomato olive_oil cane_molasses beef onion cheese parmesan_cheese bay basil fennel carrot garlic bell_pepper oregano mozzarella_cheese macaroni egg pork_sausage
248,Asian,coriander fenugreek pepper vinegar fish lime_juice cumin shrimp scallop vegetable_oil basil mussel cabbage rice broccoli coconut turmeric
249,Asian,cilantro black_pepper ginger scallion lettuce bean carrot garlic chicken mint
250,American,butter tomato fish black_pepper orange rosemary
251,Italian,orange_peel cheese lemon pear buttermilk currant cranberry orange raspberry mint cream
252,Asian,butter olive_oil potato shallot chicken_broth black_pepper parsley white_wine celery cream leek bread
253,French,butter wheat mustard chicken_broth ham chicory milk_fat swiss_cheese nutmeg milk cream
254,American,lemon cinnamon ginger pineapple
255,American,butter olive_oil cane_molasses lemon_juice onion vinegar black_pepper cayenne shrimp garlic tamarind
256,Greek,olive_oil dill vinegar shallot fish milk_fat garlic orange bread salmon_roe milk smoked_salmon
257,Mexican,melon lemon_juice mint
258,American,butter wheat corn cocoa vanilla egg milk cream
259,Italian,tomato olive_oil onion cheese parsley parmesan_cheese basil fennel garlic mozzarella_cheese macaroni pork_sausage
260,American,cane_molasses butter corn cocoa vanilla cream
261,Mexican,tomato pepper beef meat onion potato cayenne celery carrot bell_pepper seed
262,Italian,olive_oil lemon_juice shrimp celery bean garlic
263,Italian,olive_oil wheat yeast anise black_pepper fennel egg
264,Italian,vinegar ham peach cumin basil sherry
265,American,butter wheat egg vanilla blackberry cream_cheese lard mint cream
266,Japanese,sake soy_sauce scallion vegetable_oil chicken wine
267,American,olive_oil onion vinegar cider cayenne squash yam turnip sweet_potato chive vegetable_oil
268,Italian,tomato olive_oil onion vinegar raisin black_pepper rosemary wine
269,American,butter wheat vanilla cocoa strawberry seed vegetable_oil wine egg milk cream
270,American,honey tomato grape_juice garlic ginger
271,American,butter orange_peel wheat rum vanilla raisin ginger walnut cinnamon cream_cheese cranberry vegetable_oil pumpkin egg milk cream
272,French,butter bourbon_whiskey wheat rose vanilla almond cognac raspberry egg milk bread
273,Southern_SoulFood,tomato olive_oil grape_juice wheat beef onion black_pepper red_wine cayenne thyme bay celery veal bell_pepper garlic beef_broth parsley rosemary mushroom
274,Irish,butter pepper potato milk scallion
275,American,turkey olive_oil cane_molasses grape_juice onion black_pepper bay cabbage
276,American,butter lemon_juice wheat yeast vanilla milk_fat cinnamon egg milk
277,American,tomato olive_oil onion vinegar tabasco_pepper cucumber bell_pepper sherry
278,Central_SouthAmerican,coriander olive_oil onion garlic rice turmeric
279,Jewish,coffee lemon_juice wheat cardamom egg walnut maple_syrup lemon_peel
280,Italian,tomato olive_oil lemon_juice fish parmesan_cheese macaroni bell_pepper basil garlic broccoli
281,American,cilantro wheat mustard onion corn black_pepper parsley buttermilk cucumber crab chive vegetable_oil egg lime
282,Jewish,butter orange_peel almond vanilla orange_juice cocoa orange egg wine
283,American,lemon_juice cardamom apricot honey cranberry lemon_peel
284,Jewish,onion black_pepper almond raisin squash cinnamon vegetable_oil
285,American,butter olive_oil cane_molasses apple vinegar shallot cider chicken_broth black_pepper sage chicken
286,French,butter egg wheat lard
287,American,butter cane_molasses wheat blueberry milk_fat cinnamon egg milk
288,Indian,coriander fenugreek pepper okra cayenne cashew jasmine cumin garlic tomato vegetable_oil chicken currant coconut turmeric
289,American,tomato olive_oil pork beef onion romano_cheese egg black_pepper parsley celery carrot veal oregano garlic cheese milk bread
290,Italian,olive_oil vinegar cayenne garlic oregano pimento olive wine
291,American,coffee thyme beef black_pepper bean garlic bell_pepper
292,American,butter tarragon onion bacon chicken_broth black_pepper chive bread
293,EasternEuropean_Russian,vinegar black_pepper bell_pepper garlic
294,Spanish_Portuguese,olive_oil zucchini egg onion potato
295,American,butter olive_oil garlic parsley bread
296,American,butter cane_molasses vanilla wheat starch
297,Italian,olive_oil lemon_juice lemon cheese parsley walnut garlic basil chicken lemon_peel
298,Southern_SoulFood,butter cheese watercress ham onion corn parsley fennel beet macaroni cheddar_cheese cream
299,African,tomato olive_oil green_bell_pepper lemon beef black_pepper parsley celery cucumber bell_pepper wheat mint
300,American,butter cheese grape_juice wheat gelatin cocoa buttermilk brandy sour_cherry hazelnut vegetable_oil apple_brandy milk cream
301,Irish,butter caraway wheat raisin buttermilk seed egg
302,American,butter cane_molasses wheat cocoa milk_fat sour_cherry egg milk
303,American,cane_molasses coriander marjoram onion thyme olive_oil roasted_pork raisin sage bay black_pepper fennel garlic rosemary
304,French,vanilla egg
305,American,olive_oil lemon bay black_pepper white_wine garlic shrimp white_bread bread
306,Italian,tomato cheese wheat mushroom bacon parsley parmesan_cheese cured_pork basil mozzarella_cheese
307,American,butter lemon_juice wheat starch corn blueberry lard vegetable lemon milk cream
308,EasternEuropean_Russian,butter cheese pepper wheat onion shallot black_pepper nutmeg chive garlic beef_broth egg
309,MiddleEastern,tomato cilantro green_bell_pepper wheat onion cayenne cumin parsley chickpea garlic soybean bread
310,American,lemon_juice apricot vanilla almond milk blueberry cream
311,Jewish,vanilla egg brandy
312,French,lamb cane_molasses pepper mustard thyme shallot egg parsley garlic butter vegetable_oil white_bread rosemary
313,Cajun_Creole,olive_oil pepper green_bell_pepper mustard onion potato vinegar tabasco_pepper white_wine celery scallion pork_sausage wine
314,Asian,katsuobushi pepper sesame_oil mushroom soy_sauce seaweed crab chive sherry wine egg cream
315,Central_SouthAmerican,tomato cilantro onion corn cayenne carrot garlic rice pea
316,Italian,butter olive_oil onion vinegar cider nut raisin chicory black_pepper
317,Asian,tomato lemongrass sesame_oil beef shallot cayenne chicken_broth black_pepper scallion fish cinnamon galanga vegetable_oil rice mint star_anise lime_juice
318,Italian,orange_peel honey wheat citrus vanilla almond cocoa cinnamon hazelnut lemon_peel
319,American,butter cane_molasses wheat apple corn maple_syrup buttermilk cinnamon yogurt egg
320,French,turkey olive_oil pepper thyme onion shallot black_pepper bay
321,American,cane_molasses vanilla almond honey oat cinnamon vegetable_oil
322,Japanese,cilantro clam sesame_oil sake fish ginger scallion garlic sesame_seed rice soy_sauce
323,American,tomato cilantro wheat onion yeast corn cayenne cumin garlic chicken cheddar_cheese
324,Jewish,cane_molasses butter wheat apple apricot orange_juice raisin cinnamon egg
325,American,turkey vinegar mushroom onion chicken_broth parsley celery garlic liver oregano vegetable_oil sherry white_bread
326,Asian,cocoa butter peanut
327,Indian,coriander vinegar cilantro onion cayenne black_pepper cumin ginger white_wine garlic cinnamon oregano chicken rice bell_pepper
328,American,butter turkey mustard thyme olive_oil black_pepper starch sage parsley scallion cream
329,American,butter cane_molasses lemon_juice wheat ginger cinnamon egg cream
330,American,cane_molasses coconut wheat rum vanilla milk cocoa pecan bread egg banana cream
331,Asian,vinegar starch soy_sauce cayenne ginger scallion scallop garlic bell_pepper pineapple vegetable_oil rice
332,American,butter cheese buttermilk potato milk milk_fat garlic leek cream
333,Asian,milk_fat cream egg milk green_tea
334,African,olive_oil cilantro wheat onion fish black_pepper parsley ginger cumin garlic bell_pepper olive lemon egg
335,Italian,tomato olive_oil grape_juice onion romano_cheese garlic macaroni
336,Italian,olive_oil chicken_broth rice onion cheese
337,Asian,coriander fenugreek coconut lime_juice jasmine cumin ginger scallion cilantro garlic tomato soybean peanut pepper vegetable_oil turmeric bell_pepper
338,American,butter coconut wheat vanilla coffee walnut cocoa peanut_butter egg
339,American,cane_molasses vinegar wheat onion cheese parmesan_cheese white_wine butter tamarind chicken cream
340,American,butter cane_molasses lemon_juice wheat egg corn ginger buttermilk cinnamon lard vegetable lemon_peel
341,EasternEuropean_Russian,tomato olive_oil mushroom thyme beef egg_noodle cayenne onion parsley garlic wheat beef_broth
342,Greek,tomato olive_oil wheat onion feta_cheese cayenne parsley
343,Italian,olive_oil ham sage white_wine veal garlic
344,Italian,olive_oil lemon_juice fish parsley garlic oregano
345,Spanish_Portuguese,egg almond lemon_peel cinnamon
346,American,butter nutmeg lemon apple bread
347,American,lemon_juice ginger peach white_wine
348,French,olive_oil thyme onion anise fennel garlic zucchini cream
349,French,butter olive_oil wheat starch almond fruit lemon egg
350,Asian,vinegar cilantro mint olive_oil cayenne fish lime_juice shrimp lettuce carrot garlic basil cucumber rice seed shiitake
351,Italian,tomato olive_oil onion cheese romano_cheese garlic basil macaroni
352,Mexican,butter cane_molasses wheat vanilla almond cocoa cinnamon egg milk cream
353,Asian,vinegar rice pea ginger
354,Italian,strawberry vanilla white_wine honey gelatin orange cream nut wine
355,American,butter cane_molasses wheat vanilla honey oat egg nut cocoa
356,Asian,vinegar watercress radish ginger vegetable_oil rice smoked_salmon
357,Asian,olive_oil pork beef vinegar garlic barley soybean sherry rice bell_pepper
358,Irish,coriander butter wheat raisin ginger nutmeg cinnamon egg
359,Spanish_Portuguese,butter corn wheat milk yeast
360,American,vinegar beet wine
361,American,lemon cream egg strawberry
362,American,olive_oil grape_juice thyme onion bean beet vegetable_oil
363,American,butter olive_oil wheat ham mushroom cheese shallot chicken_broth thyme parmesan_cheese bay milk_fat nutmeg macaroni rosemary milk
364,American,tomato olive_oil cilantro onion vinegar cayenne orange_juice avocado champagne_wine seed cucumber bell_pepper garlic
365,American,olive_oil grape_juice ham cheese shallot nut cayenne asparagus
366,American,butter orange_peel orange_juice squash ginger honey cinnamon vegetable_oil lemon_peel
367,Italian,olive_oil wheat yeast
368,Scandinavian,butter cane_molasses caraway wheat anise_seed seed rye_flour orange egg milk
